Specie.name,Specie_name
Austrocactus spiniflorus,Austrocactus_spiniflorus
Browningia candelaris,Browningia_candelaris
Copiapoa atacamensis,Copiapoa_atacamensis
Copiapoa calderana,Copiapoa_calderana
Copiapoa cinerascens,Copiapoa_cinerascens
Copiapoa cinerea,Copiapoa_cinerea
Copiapoa coquimbana,Copiapoa_coquimbana
Copiapoa dealbata,Copiapoa_dealbata
Copiapoa decorticans,Copiapoa_decorticans
Copiapoa echinoides,Copiapoa_echinoides
Copiapoa humilis,Copiapoa_humilis
Copiapoa hypogaea,Copiapoa_hypogaea
Copiapoa laui,Copiapoa_laui
Copiapoa longistaminea,Copiapoa_longistaminea
Copiapoa megarhiza,Copiapoa_megarhiza
Copiapoa rupestris,Copiapoa_rupestris
Copiapoa solaris,Copiapoa_solaris
Cumulopuntia leucophaea,Cumulopuntia_leucophaea
Cumulopuntia sphaerica,Cumulopuntia_sphaerica
Eriosyce aspillagae,Eriosyce_aspillagae
Eriosyce aurata,Eriosyce_aurata
Eriosyce calderana,Eriosyce_calderana
Eriosyce chilensis,Eriosyce_chilensis
Eriosyce clavata,Eriosyce_clavata
Eriosyce crispa,Eriosyce_crispa
Eriosyce curvispina,Eriosyce_curvispina
Eriosyce duripulpa,Eriosyce_duripulpa
Eriosyce engleri,Eriosyce_engleri
Eriosyce esmeraldana,Eriosyce_esmeraldana
Eriosyce garaventae,Eriosyce_garaventae
Eriosyce heinrichiana,Eriosyce_heinrichiana
Eriosyce iquiquensis,Eriosyce_iquiquensis
Eriosyce krausii,Eriosyce_krausii
Eriosyce kunzei,Eriosyce_kunzei
Eriosyce limariensis,Eriosyce_limariensis
Eriosyce marksiana,Eriosyce_marksiana
Eriosyce napina,Eriosyce_napina
Eriosyce occulta,Eriosyce_occulta
Eriosyce odieri,Eriosyce_odieri
Eriosyce paucicostata,Eriosyce_paucicostata
Eriosyce recondita,Eriosyce_recondita
Eriosyce rodentiophila,Eriosyce_rodentiophila
Eriosyce senilis,Eriosyce_senilis
Eriosyce simulans,Eriosyce_simulans
Eriosyce sociabilis,Eriosyce_sociabilis
Eriosyce subgibbosa,Eriosyce_subgibbosa
Eriosyce taltalensis,Eriosyce_taltalensis
Eriosyce tenebrica,Eriosyce_tenebrica
Eriosyce villosa,Eriosyce_villosa
Eriosyce wagenknechtii,Eriosyce_wagenknechtii
Eulychnia acida,Eulychnia_acida
Eulychnia breviflora,Eulychnia_breviflora
Eulychnia castanea,Eulychnia_castanea
Eulychnia chorosensis,Eulychnia_chorosensis
Eulychnia iquiquensis,Eulychnia_iquiquensis
Leucostele chiloensis,Leucostele_chiloensis
Leucostele deserticola,Leucostele_deserticola
Leucostele nigripilis,Leucostele_nigripilis
Maihuenia poeppigii,Maihuenia_poeppigii
Maihueniopsis archiconoidea,Maihueniopsis_archiconoidea
Maihueniopsis atacamensis,Maihueniopsis_atacamensis
Maihueniopsis colorea,Maihueniopsis_colorea
Miqueliopuntia miquelii,Miqueliopuntia_miquelii
Neowerdermannia chilensis,Neowerdermannia_chilensis
Oreocereus leucotrichus,Oreocereus_leucotrichus
Rimacactus laui,Rimacactus_laui